                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.72337,                0.49504,                  1.002,                0.92954,                0.90764,                 0.9503,                0.77123,                 0.7541,                0.47735,                 1.0719,              0.0086338,              0.0086338,              0.0086338
                     71,                0.71158,                 0.4703,                 0.9975,                0.95049,                0.95756,                0.98216,                0.80194,                0.74602,                0.40335,                 1.0613,               0.008614,               0.008614,               0.008614
                     72,                 0.7121,                0.47241,                0.99689,                0.89272,                0.91589,                0.94906,                0.77659,                0.73974,                0.57217,                 1.0609,              0.0085942,              0.0085942,              0.0085942
                     73,                0.70802,                0.44176,                0.99649,                0.95858,                0.95417,                0.98268,                0.81058,                0.72677,                  0.401,                 1.0582,              0.0085744,              0.0085744,              0.0085744
                     74,                 0.7177,                0.45068,                0.99564,                0.93491,                0.92491,                0.96636,                 0.7817,                0.77127,                0.50873,                 1.0916,              0.0085546,              0.0085546,              0.0085546
                     75,                 0.7001,                0.43988,                0.99248,                0.94041,                0.94997,                0.97486,                0.80308,                0.73709,                0.41806,                 1.0616,              0.0085348,              0.0085348,              0.0085348
                     76,                0.70923,                0.43335,                0.99014,                0.90095,                0.91558,                0.95721,                0.77853,                0.76796,                0.51168,                 1.0836,               0.008515,               0.008515,               0.008515
                     77,                0.69384,                0.43635,                0.99001,                0.95097,                0.96665,                0.98372,                0.80152,                 0.7602,                0.39422,                 1.0821,              0.0084952,              0.0084952,              0.0084952
                     78,                0.70348,                0.43807,                0.99508,                0.95029,                0.96016,                 0.9806,                0.81073,                0.71771,                 0.3916,                 1.0537,              0.0084754,              0.0084754,              0.0084754
                     79,                0.69935,                0.44365,                0.99748,                0.93957,                0.94658,                0.97962,                0.80877,                0.72508,                0.40572,                 1.0541,              0.0084556,              0.0084556,              0.0084556
                     80,                0.70648,                0.43568,                 0.9923,                0.92584,                0.91783,                0.96478,                0.79754,                0.72825,                0.46675,                 1.0528,              0.0084358,              0.0084358,              0.0084358
                     81,                0.70157,                0.45141,                0.99466,                0.93326,                0.93957,                0.97816,                0.80707,                0.72892,                0.43009,                 1.0561,               0.008416,               0.008416,               0.008416
                     82,                0.69071,                 0.4359,                0.98793,                0.89904,                0.91441,                0.93812,                0.77966,                0.72734,                0.56357,                 1.0617,              0.0083962,              0.0083962,              0.0083962
                     83,                0.68727,                0.42068,                0.98723,                0.94942,                0.94472,                0.97832,                0.80542,                0.73211,                 0.4041,                 1.0625,              0.0083764,              0.0083764,              0.0083764
                     84,                 0.6991,                0.42296,                0.99003,                0.93551,                0.95203,                 0.9731,                0.79404,                0.74742,                0.42436,                 1.0764,              0.0083566,              0.0083566,              0.0083566
                     85,                0.68921,                0.42483,                0.99035,                0.93341,                0.94512,                0.97655,                0.80214,                0.73283,                0.42373,                 1.0631,              0.0083368,              0.0083368,              0.0083368
                     86,                0.69104,                0.43046,                0.98477,                0.91389,                0.85813,                0.95931,                0.78145,                 0.7471,                 0.5376,                 1.0714,               0.008317,               0.008317,               0.008317
                     87,                0.68948,                0.43675,                0.98689,                0.92951,                0.92564,                0.97194,                0.81215,                0.72539,                0.44933,                 1.0561,              0.0082972,              0.0082972,              0.0082972
                     88,                 0.6935,                0.42348,                 0.9929,                0.96027,                0.95777,                0.98185,                 0.8057,                0.74305,                0.37223,                  1.073,              0.0082774,              0.0082774,              0.0082774
                     89,                0.70296,                0.43339,                0.99577,                0.91595,                0.94361,                0.97024,                 0.8057,                0.71857,                0.46613,                  1.058,              0.0082576,              0.0082576,              0.0082576
                     90,                0.67954,                0.42068,                0.98196,                0.96186,                0.96614,                  0.983,                0.82139,                0.69941,                0.36584,                 1.0425,              0.0082378,              0.0082378,              0.0082378
                     91,                0.68847,                0.43009,                0.98338,                0.95308,                0.93871,                0.97468,                0.81095,                0.71513,                0.42828,                 1.0554,               0.008218,               0.008218,               0.008218
                     92,                0.68597,                0.41471,                0.98574,                 0.9614,                0.94197,                0.98468,                0.81569,                0.72037,                0.37504,                 1.0604,              0.0081982,              0.0081982,              0.0081982
                     93,                0.69131,                0.40923,                0.98622,                0.93994,                0.95426,                0.98238,                0.81906,                0.71667,                0.38811,                 1.0431,              0.0081784,              0.0081784,              0.0081784
                     94,                0.69015,                0.40913,                0.99113,                0.93415,                0.92416,                0.97157,                0.80602,                0.71781,                0.45535,                 1.0542,              0.0081586,              0.0081586,              0.0081586
                     95,                0.67525,                0.39663,                0.98143,                 0.9565,                0.94686,                0.98116,                0.81173,                0.71856,                0.39511,                 1.0558,              0.0081388,              0.0081388,              0.0081388
                     96,                0.68896,                0.40964,                0.99216,                0.92257,                0.92348,                 0.9766,                0.80869,                0.72672,                0.44775,                 1.0611,               0.008119,               0.008119,               0.008119
                     97,                0.69311,                0.41598,                0.98857,                0.95224,                0.94397,                0.97516,                0.78979,                0.75817,                0.41606,                  1.079,              0.0080992,              0.0080992,              0.0080992
                     98,                0.67884,                0.40486,                0.98262,                0.94081,                0.94414,                0.97628,                0.81151,                0.71516,                0.43088,                 1.0511,              0.0080794,              0.0080794,              0.0080794
