                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.52329,                0.41623,                0.87644,                0.91034,                 0.9667,                0.97481,                0.80487,                0.74708,                0.50412,                0.99615,               0.000198,               0.000198,               0.000198
                     79,                0.51715,                0.39265,                0.87483,                0.92888,                0.95128,                0.97823,                0.79648,                0.76515,                0.51213,                 1.0089,             0.00018976,             0.00018976,             0.00018976
                     80,                0.51527,                0.38794,                0.87442,                0.92613,                0.96479,                0.97918,                0.80704,                0.76252,                0.50662,                  1.013,             0.00018151,             0.00018151,             0.00018151
                     81,                 0.5093,                0.40001,                0.88148,                0.91592,                0.96138,                0.97764,                0.80494,                0.75465,                0.49331,                 1.0098,             0.00017326,             0.00017326,             0.00017326
                     82,                0.49646,                0.38901,                0.87186,                0.93478,                0.95207,                0.97584,                 0.7987,                 0.7631,                0.49355,                 1.0117,             0.00016502,             0.00016502,             0.00016502
                     83,                0.50039,                0.39061,                0.87867,                0.92259,                0.94554,                 0.9628,                0.79527,                0.74915,                0.49389,                  1.008,             0.00015677,             0.00015677,             0.00015677
                     84,                 0.4908,                0.37988,                0.86914,                0.90955,                0.95876,                0.96112,                0.78917,                0.77196,                0.50046,                 1.0194,             0.00014852,             0.00014852,             0.00014852
                     85,                0.47129,                0.36703,                0.86472,                 0.9202,                0.95394,                0.97343,                0.79392,                0.75491,                0.50227,                 1.0129,             0.00014028,             0.00014028,             0.00014028
                     86,                0.49662,                0.38269,                0.86863,                 0.9262,                0.95721,                0.97284,                 0.7973,                0.76783,                0.49541,                 1.0095,             0.00013203,             0.00013203,             0.00013203
                     87,                0.49375,                0.38737,                0.87075,                0.93215,                0.95491,                0.97435,                0.79511,                0.76316,                0.48602,                   1.01,             0.00012378,             0.00012378,             0.00012378
                     88,                0.48386,                0.36797,                0.86553,                0.92757,                0.96397,                0.97303,                0.79791,                0.77415,                0.48853,                 1.0198,             0.00011554,             0.00011554,             0.00011554
