                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.56408,                0.29817,                0.92942,                 0.9476,                0.95456,                0.98164,                0.82659,                0.71388,                0.36859,                 1.0683,               0.001222,               0.001222,               0.001222
                    135,                0.56184,                 0.2963,                0.93002,                0.95456,                 0.9578,                0.98379,                0.82838,                0.70773,                0.35745,                 1.0618,               0.001156,               0.001156,               0.001156
                    136,                0.55985,                0.29656,                0.92793,                0.95102,                0.95548,                0.98477,                0.83244,                0.70457,                0.35432,                 1.0605,                0.00109,                0.00109,                0.00109
                    137,                0.55902,                0.29602,                0.92745,                0.94812,                0.96871,                 0.9834,                0.82821,                0.71374,                0.35156,                 1.0649,               0.001024,               0.001024,               0.001024
                    138,                0.55533,                0.29551,                0.92576,                0.94745,                0.95854,                0.98109,                0.82661,                0.71033,                0.36783,                 1.0649,               0.000958,               0.000958,               0.000958
                    139,                0.55458,                0.29164,                0.92789,                0.95319,                0.95445,                0.98194,                0.82754,                0.71539,                0.36769,                   1.07,               0.000892,               0.000892,               0.000892
                    140,                0.55009,                0.28956,                0.92529,                0.95735,                0.95007,                0.98141,                0.82679,                0.71228,                0.37289,                 1.0692,               0.000826,               0.000826,               0.000826
                    141,                0.51263,                0.25931,                0.91587,                0.95646,                0.94282,                0.97644,                0.82136,                0.71588,                 0.3868,                  1.072,                0.00076,                0.00076,                0.00076
                    142,                0.50455,                0.25181,                0.90894,                0.95147,                0.95001,                0.97968,                0.82418,                0.71354,                0.37348,                 1.0714,               0.000694,               0.000694,               0.000694
                    143,                0.50221,                0.24644,                0.91318,                0.93923,                0.95529,                0.97881,                0.82134,                 0.7208,                0.39011,                 1.0743,               0.000628,               0.000628,               0.000628
                    144,                0.49462,                0.24029,                0.90198,                0.94859,                0.94914,                0.98005,                  0.824,                0.71829,                0.38159,                 1.0739,               0.000562,               0.000562,               0.000562
                    145,                0.49481,                0.23931,                0.90873,                0.94982,                0.95301,                0.98127,                0.82358,                0.71733,                0.37899,                 1.0745,               0.000496,               0.000496,               0.000496
                    146,                0.49193,                0.23845,                0.90726,                 0.9489,                0.95161,                0.98181,                0.82629,                0.71598,                0.37899,                 1.0752,                0.00043,                0.00043,                0.00043
                    147,                0.48827,                0.24111,                0.90478,                0.94518,                0.95015,                0.97983,                0.82576,                0.71886,                0.38971,                 1.0754,               0.000364,               0.000364,               0.000364
                    148,                0.48479,                 0.2364,                0.90354,                0.94761,                0.95448,                0.98005,                0.82554,                0.71529,                0.38407,                 1.0719,               0.000298,               0.000298,               0.000298
                    149,                0.48734,                0.23534,                0.90187,                0.94562,                0.95788,                0.98181,                0.82765,                 0.7162,                0.37484,                 1.0743,               0.000232,               0.000232,               0.000232
                    150,                0.48449,                0.23702,                0.90367,                0.94626,                0.95593,                0.98213,                 0.8268,                0.71595,                0.37656,                 1.0752,               0.000166,               0.000166,               0.000166
